Module Code,Positive Comments,Negative Comments,Positive Sentiment Ratio,Aggregated Sentiment Score
CM4269,0,4,0,-0.922938555
CM4271,,,,
CM4274,1,0,1,0.951675653
CM4282,,,,
CM4299,,,,
CM4310,,,,
CM5100,,,,
CM5102,,,,
CM5103,,,,
CM5104,,,,
CM5151,,,,
CM5161,,,,
CM5198,,,,
CM5211,,,,
CM5212,,,,
CM5221,0,1,0,-0.963416278
CM5223,,,,
CM5224,,,,
CM5225,,,,
CM5235,,,,
CM5237,,,,
CM5239,,,,
CM5241,,,,
CM5244,,,,
CM5263,,,,
CM5268,,,,
CN1101A,0,2,0,-0.99189043
CN2102,0,2,0,-0.697755814
CN2103,2,6,0.25,-0.484011941
CN2104,1,5,0.166666667,-0.623044362
CN2105,2,1,0.666666667,0.299704731
CN2106,1,1,0.5,-0.007244557
CN3101A,0,1,0,-0.995834112
CN3102,,,,
CN3103,1,0,1,0.939816892
CN3104,1,0,1,0.968461931
CN3109,,,,
CN3135,2,5,0.285714286,-0.415623835
CN4101,,,,
CN4102,,,,
CN4118,,,,
CN4118N,,,,
CN4118R,,,,
CN4119,,,,
CN4122,,,,
CN4123R,1,0,1,0.992354274
CN4201R,,,,
CN4203R,,,,
CN4205R,0,1,0,-0.998207211
CN4210E,,,,
CN4211E,,,,
CN4215E,,,,
CN4215R,,,,
CN4218,0,1,0,-0.989612997
CN4221R,,,,
CN4227R,0,1,0,-0.959700763
CN4233R,,,,
CN4235,,,,
CN4242E,,,,
CN4247R,,,,
CN4248,,,,
CN4249,,,,
CN4251,,,,
CN5010,,,,
CN5020,,,,
CN5030,,,,
CN5040,,,,
CN5050,,,,
CN5111,,,,
CN5112,,,,
CN5150,,,,
CN5160,,,,
CN5162,,,,
CN5172,,,,
CN5173,,,,
CN5190,,,,
CN5191,1,1,0.5,-7.12E-05
CN5192,,,,
CN5193,,,,
CN5194,,,,
CN5195,,,,
CN5202,,,,
CN5203,,,,
CN5204,,,,
CN5216,,,,
CN5220,,,,
CN5246,0,1,0,-0.961324632
CN5251,,,,
CN5432,,,,
CN5550,,,,
